canonical_smiles,pchembl_value,assay_description,chembl_id,MolWt,LogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,AromaticRingCount,FractionCSP3,HeavyAtomCount
CC(=O)Nc1cccc(OCC(=O)Nc2ccc(F)cc2)c1,4.98,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1535518,302.305,2.8016000000000005,67.42999999999999,2,3,5,2,2,0.125,22
CC(=O)Nc1cccc2c1C(=O)N(c1ccc(C)cc1)C2=O,5.96,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1344938,294.31,2.7540200000000015,66.48,1,3,2,3,2,0.11764705882352941,22
CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,5.35,Activation of rat PXR expressed in human HepG2 cells after 24 hrs by luciferase reporter gene based luminescent analysis,CHEMBL1530428,434.5040000000002,2.466500000000001,100.90000000000002,2,6,3,4,0,0.7083333333333334,31
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,5.6725,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis | Activation of rat PXR expressed in human HepG2 cells after 24 hrs by luciferase reporter gene based luminescent analysis,CHEMBL1200600,376.46800000000013,2.923300000000001,74.6,2,4,1,4,0,0.7272727272727273,27
CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(O)cccc1C3=O,5.55,Activation of rat PXR expressed in human HepG2 cells after 24 hrs by luciferase reporter gene based luminescent analysis,CHEMBL474260,513.4990000000003,0.7259,196.83999999999997,6,11,3,5,2,0.4230769230769231,37
CC(=O)c1ccc(NC(=O)c2cc(Cl)nc3ccccc23)cc1,5.78,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1382475,324.767,4.343100000000002,59.06,1,3,3,3,3,0.05555555555555555,23
CC(=O)c1noc(C)c1C(=O)Nc1nccs1,5.19,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1307677,251.26700000000002,1.89442,85.09,1,6,3,2,2,0.2,17
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O.O=S(=O)(O)O,4.824999999999999,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis,CHEMBL1735,711.8820000000005,2.2141000000000024,192.63,6,9,11,5,3,0.4722222222222222,50
CC(C)(C)c1cc(O)ccc1O,5.300000000000001,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis,CHEMBL242080,166.21999999999997,2.395300000000001,40.46,2,2,0,1,1,0.4,12
CC(C)(C)c1ccc2c(S(=O)(=O)[O-])c(C(C)(C)C)ccc2c1.[Na+],4.95,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis | Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL2107554,342.436,1.3428999999999998,57.2,0,3,1,2,2,0.4444444444444444,23
CC(C)(C)c1nc(C23CCC(CN(C(=O)C45CC(F)(C4)C5)c4cccc(-c5nc(C6CC6)no5)c4)(CC2)CC3)no1,4.3,Transactivation of PXR (unknown origin),CHEMBL5170740,559.6860000000003,6.811900000000008,98.15,0,7,7,10,3,0.65625,41
CC(C)(C)c1nc(C23CCC(CN(C(=O)C45CC(F)(C4)C5)c4cccc(-c5nnc(C6CC6)o5)c4)(CC2)CC3)no1,5.22,Transactivation of PXR (unknown origin),CHEMBL5190243,559.6860000000003,6.811900000000008,98.15,0,7,7,10,3,0.65625,41
CC(C)(C)c1noc(C23CCC(CN(C(=O)C45CC(F)(C4)C5)c4cccc(-c5nc(C6CC6)no5)c4)(CC2)CC3)n1,4.3,Transactivation of PXR (unknown origin),CHEMBL5172239,559.686,6.811900000000008,98.15,0,7,7,10,3,0.65625,41
CC(C)(CCO)c1cccn2c(C3(c4ccc(Cl)cc4)CC3)nnc12,5.89,Activation of PXR (unknown origin),CHEMBL4453347,355.8690000000001,4.122600000000003,50.42,1,3,5,4,3,0.4,25
