canonical_smiles,pchembl_value,assay_description,chembl_id
COc1cc(-n2nnc(S(=O)(=O)c3ccc(C(C)(C)C)cc3)c2C)c(OC)cc1Br,6.22,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4856961
COc1cc(-n2nnc(S(=O)(=O)c3ccc(C(C)(C)C)cc3)c2C)c(OC)cc1C,6.22,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4876988
COc1cc(-n2nnc(S(=O)(=O)c3ccc(C(C)(C)C)cc3)c2C)c(OC)cc1C#N,5.96,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4879151
COc1cc(-n2nnc(S(=O)(=O)c3ccc(C(C)(C)C)cc3)c2C)c(OC)cc1C(C)=O,6.3,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4855988
COc1cc(-n2nnc(S(=O)(=O)c3ccc(C(C)(C)C)cc3)c2C)c(OC)cc1C(C)C,6.05,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4847628
COc1cc(-n2nnc(S(=O)(=O)c3ccc(C(C)(C)C)cc3)c2C)c(OC)cc1Cl,6.22,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4869893
COc1cc(-n2nnc(S(=O)(=O)c3ccc(C(C)(C)C)cc3)c2C)c(OC)cc1F,6.0,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4869462
COc1cc(/C=C2\CCCN3C2=NO[C@H](c2cc(F)cc(F)c2)[C@@H]3C)ccc1-n1cnc(C)c1,4.82,Inhibition of PXR (unknown origin),CHEMBL4643105
COc1cc(/C=N/NC(=O)c2cccc(NC(=O)c3ccccc3)c2)ccc1O,4.6850000000000005,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))] | PUBCHEM_BIOASSAY: Luminescence-based counterscreen for activators of the Aryl Hydrocarbon Receptor (AHR): cell-based high throughput dose response screening assay for activators of the Pregnane X Receptor (PXR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL2004756
COc1cc(/C=N/NC(=O)c2cccnc2)cc2c1OCO2,5.21,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL3192859
COc1cc(Br)c(C)cc1-n1nnc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c1C,5.89,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4848565
COc1cc(Br)c(Cl)cc1-n1nnc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c1C,6.22,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4869828
COc1cc(C#N)c(C)cc1-n1nnc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c1C,5.8,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4853314
COc1cc(C#N)c(Cl)cc1-n1nnc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c1C,6.0,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4872624
COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,4.952,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis | Activation of rat PXR expressed in human HepG2 cells after 24 hrs by luciferase reporter gene based luminescent analysis,CHEMBL603
COc1cc(C(C)=O)c(C)cc1-n1nnc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c1C,6.4,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4859334
COc1cc(C(C)=O)c(Cl)cc1-n1nnc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c1C,6.58,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4849299
COc1cc(C(C)C)c(C)cc1-n1nnc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c1C,6.08,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4851190
COc1cc(C(C)C)c(Cl)cc1-n1nnc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c1C,5.75,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4864314
COc1cc(C)c(C)cc1-n1nnc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c1C,6.16,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4878253
COc1cc(C)c(Cl)cc1-n1nnc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c1C,6.0,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4865738
COc1cc(Cl)c(C)cc1-n1nnc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c1C,6.1,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4869913
COc1cc(F)c(C(C)C)cc1-c1ccc(C(F)(F)F)cc1CN1C(=O)O[C@H](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)[C@@H]1C,5.41,Transactivation of PXR (unknown origin),CHEMBL1800807
COc1cc(OC)c(-n2nnc(S(=O)(=O)c3ccc(C(C)(C)C)cc3)c2C)cc1C,6.55,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4848816
COc1cc(OC)c(-n2nnc(S(=O)(=O)c3ccc(C(C)(C)C)cc3)c2C)cc1Cl,6.6,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4860882
COc1cc(OC)c(-n2nnc(S(=O)(=O)c3ccc(C(C)(C)C)cc3)c2C)cc1OC,5.98,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4872907
COc1cc2c(cc1NC(=O)Nc1ccc(C)cc1)oc1ccccc12,4.915,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))] | PUBCHEM_BIOASSAY: Luminescence-based counterscreen for activators of the Aryl Hydrocarbon Receptor (AHR): cell-based high throughput dose response screening assay for activators of the Pregnane X Receptor (PXR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1545718
COc1cc2c(cc1OC)C(C(C(=O)N(CCc1ccc(OC)c(OC)c1OC)CCc1ccc(OC)c(OC)c1OC)c1ccccc1)=NCC2.Cl,5.066666666666666,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of rat PXR expressed in human HepG2 cells after 24 hrs by luciferase reporter gene based luminescent analysis | Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL2356116
COc1cc2ccccc2cc1C(=O)Nc1ccc(C)cc1,6.41,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1509929
COc1cc2nc(-c3cccc(F)c3)cc(O)c2cc1OC,5.26,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1340000
COc1ccc(-c2ccc(Oc3ccccc3C(C)(C)C)c(NC(=O)Nc3ccccc3F)c2)cc1C(=O)O,5.25,Transactivation of PXR (unknown origin),CHEMBL5282264
COc1ccc(-c2oc3ccc(N4CCOCC4)cc3c2C#Cc2ccc(N)cc2)cc1,4.63,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))] | PUBCHEM_BIOASSAY: Luminescence-based counterscreen for activators of the Aryl Hydrocarbon Receptor (AHR): cell-based high throughput dose response screening assay for activators of the Pregnane X Receptor (PXR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1483899
COc1ccc(/C=N/NC(=O)c2cccc(NC(=O)c3ccc(F)cc3)c2)c(C(=O)O)c1OC,5.26,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL3192787
COc1ccc(/C=N/Nc2nc3ccccc3[nH]2)cc1OC,4.8149999999999995,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))] | PUBCHEM_BIOASSAY: Luminescence-based counterscreen for activators of the Aryl Hydrocarbon Receptor (AHR): cell-based high throughput dose response screening assay for activators of the Pregnane X Receptor (PXR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL2037345
COc1ccc(C(=O)Nc2cc(OC)c(NC(=O)c3ccco3)cc2OC)cc1,5.75,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1318995
COc1ccc(C(C)(C)C)cc1-n1nnc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c1C,6.42,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4861132
COc1ccc(C(C)C)cc1-c1ccc(C(F)(F)F)cc1CN1C(=O)O[C@H](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)[C@@H]1C,5.58,Transactivation of PXR (unknown origin),CHEMBL1800622
COc1ccc(C(N)=O)cc1-n1nnc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c1C,5.61,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4847654
COc1ccc(C)cc1-c1nc(C)c(S(=O)(=O)c2ccc(C(C)(C)C)cc2)[nH]1,5.75,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4866481
COc1ccc(C)cc1-c1nc(C)c(S(=O)(=O)c2ccc(C(C)(C)C)cc2)n1C,6.0,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4850195
COc1ccc(C)cc1-c1ncc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)[nH]1,6.16,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4873927
COc1ccc(C)cc1-c1ncc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)n1C,6.0,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4874930
COc1ccc(C)cc1-n1cc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)nn1,6.22,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4858627
COc1ccc(C)cc1-n1nnc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c1C#N,6.8,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4856618
COc1ccc(C)cc1-n1nnc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c1C(C)=O,6.3,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4872210
COc1ccc(C)cc1-n1nnc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c1N,6.8,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4873947
COc1ccc(C)cc1N=C(N)Nc1nc(C)cc(C)n1,5.4,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1404230
COc1ccc(C2CNC(=O)OC2(C)C)cc1-c1ccc(C(F)(F)F)cc1[C@@H]1CC[C@H]2[C@@H](c3cc(C(F)(F)F)cc(C(F)(F)F)c3)OC(=O)N12,5.7,Transactivation of PXR (unknown origin),CHEMBL4846038
COc1ccc(CO)cc1-n1nnc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c1C,6.09,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4847225
COc1ccc(Cl)cc1-c1nc(C)c(S(=O)(=O)c2ccc(C(C)(C)C)cc2)[nH]1,6.3,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4865234
COc1ccc(Cl)cc1-c1nc(C)c(S(=O)(=O)c2ccc(C(C)(C)C)cc2)n1C,5.92,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4847661
COc1ccc(Cl)cc1-c1ncc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)[nH]1,6.44,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4850921
COc1ccc(Cl)cc1-c1ncc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)n1C,5.92,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4877373
COc1ccc(Cl)cc1-n1cc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)nn1,6.11,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4850323
COc1ccc(Cl)cc1-n1nnc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c1C#N,7.1,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4877818
COc1ccc(Cl)cc1-n1nnc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c1C(C)=O,6.7,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4870712
COc1ccc(Cl)cc1-n1nnc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c1N,6.96,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4871664
COc1ccc(Cl)cc1C(=O)Nc1ccc(N(C)C(C)=O)cc1,5.55,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1414242
COc1ccc(F)cc1-n1nnc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c1C,6.62,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4868841
COc1ccc(N2CCN(c3cc(C)c4ccc(O)cc4n3)CC2)cc1,5.46,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1432238
COc1ccc(NC(=O)c2ccc(C)cc2)c(OC)c1,5.42,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1213905
COc1ccc(NC(=O)c2cccc3c(Br)cccc23)cc1,6.01,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1413196
COc1ccc(OC)c(-c2nc(C)c(S(=O)(=O)c3ccc(C(C)(C)C)cc3)[nH]2)c1,5.22,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4860556
COc1ccc(OC)c(-c2nc(C)c(S(=O)(=O)c3ccc(C(C)(C)C)cc3)n2C)c1,5.92,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4848315
COc1ccc(OC)c(-c2ncc(S(=O)(=O)c3ccc(C(C)(C)C)cc3)[nH]2)c1,6.16,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4851405
COc1ccc(OC)c(-c2ncc(S(=O)(=O)c3ccc(C(C)(C)C)cc3)n2C)c1,5.4,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4878960
COc1ccc(OC)c(-n2cc(S(=O)(=O)c3ccc(C(C)(C)C)cc3)nn2)c1,5.85,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4855978
COc1ccc(OC)c(-n2nnc(S(=O)(=O)Cc3ccccc3)c2C)c1,5.47,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4852762
COc1ccc(OC)c(-n2nnc(S(=O)(=O)c3ccc(C(C)(C)C)cc3)c2C#N)c1,6.58,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4849908
COc1ccc(OC)c(-n2nnc(S(=O)(=O)c3ccc(C(C)(C)C)cc3)c2C(C)=O)c1,5.72,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4877224
COc1ccc(OC)c(-n2nnc(S(=O)(=O)c3ccc(C(C)(C)C)cc3)c2N)c1,6.37,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4850664
COc1ccc(OC)c(-n2nnc(S(=O)(=O)c3ccc(C)cc3)c2C)c1,5.68,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4847918
COc1ccc(OC)c(-n2nnc(S(=O)(=O)c3ccc(Cl)cc3)c2C)c1,5.64,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4858908
COc1ccc(OC)c(-n2nnc(S(=O)(=O)c3ccc(N)cc3)c2C)c1,5.16,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4869921
COc1ccc(OC)c(-n2nnc(S(=O)(=O)c3ccc(O)cc3)c2C)c1,4.66,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4858404
COc1ccc(OC)c(-n2nnc(S(=O)(=O)c3ccccc3)c2C)c1,5.6,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4862843
COc1ccc(S(=O)(=O)c2nnn(-c3cc(OC)ccc3OC)c2C)cc1,5.78,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4877391
COc1ccc([C@@H](C)O)cc1-n1nnc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c1C,6.36,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4863781
COc1ccc([C@H](C)O)cc1-n1nnc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c1C,6.19,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4858090
COc1ccc([C@H]2CCC(=O)N[C@@H]2C)cc1-c1ccc(C(F)(F)F)cc1[C@@H]1CC[C@H]2[C@@H](c3cc(C(F)(F)F)cc(C(F)(F)F)c3)OC(=O)N12,6.52,Transactivation of PXR (unknown origin),CHEMBL4857594
COc1ccc([C@H]2OC(=O)N[C@@H]2C)cc1-c1ccc(C(F)(F)F)cc1[C@@H]1CC[C@H]2[C@@H](c3cc(C(F)(F)F)cc(C(F)(F)F)c3)OC(=O)N12,4.89,Transactivation of PXR (unknown origin),CHEMBL4868133
COc1cccc(C(=O)O/N=C(\N)c2ccc([N+](=O)[O-])cc2)c1,5.45,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1337776
COc1ccccc1-c1nnc(NC(C)=O)s1,4.96,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1324157
COc1ccccc1-n1nnc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c1C,6.1,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4871806
